,ids,usernames,liked,retweets,commented,total
0,1450021218632019969,GodswillOtto1,0,0,0,0
1,1450194530108682246,Ch35110421Faith,0,0,0,0
2,950102293462044672,ekwere_ann,0,0,0,0
3,2738362360,fortunatus36,0,0,0,0
4,1472565545811644425,blairfbob,0,0,0,0
5,1481025931594678276,Amylush5,0,0,0,0
6,1278077663593336841,iniesonn,0,0,0,0
7,1187664260371009538,EseWilliams5,0,0,0,0
8,1141331610727567361,monicaekpo,0,0,0,0
9,826439194167955456,katie_ndemson,0,0,0,0
10,1067173653027135489,bheecrush,0,0,0,0
11,1459145823346991109,sweet_ifyy,0,0,0,0
12,1447490241695293440,king_sijieh,0,0,0,0
13,1448510638469353472,melissafyne,0,0,0,0
14,1504777706579320832,olasunbo_grace,0,0,0,0
15,553454619,ritaonose,0,0,0,0
16,1508496496756465672,Williamsturi,0,0,0,0
17,1322121913972543488,QueenTcatt,0,0,0,0
18,1074337585684729856,estherekong_,0,0,0,0
